ARESPNR	RESPNR	HHNR	HHPNR	ISCO	V040	V041	V049	V103	V200	V201	V202	VAR000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR019	VAR040	VAR046	VAR047	VAR048	VAR049	VAR050	VAR060	VAR061	VAR062	VAR064	VAR065	VAR092	VAR093	VAR096	VAR126	VAR131	VAR132	VAR133	VAR134	VAR135	VAR136	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR198	VAR201	VAR204	VAR205	VAR220	VAR222	VAR223	VAR228	VAR229	VAR239	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR320	VAR347	VAR408	VAR409	VAR427	VAR428	VAR433	VAR461	VAR462	VAR491	VAR497	VAR499	VAR501	VAR502	VAR539	VAR540	VAR544	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR591	VAR599	VAR600	VAR624	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR683B	VAR684	VAR699A	VAR699B	VAR699C	VAR699D	VAR699E	VAR699F	VAR700A	VAR700B	VAR700C	VAR700D	VAR700E	VAR723	VAR725	VAR728B	VAR729B	VAR76301	VAR76302	VAR76303	VAR76304	VAR76305	VAR76306	VAR76307	VAR76308	VAR76309	VAR76310	VAR76311	VAR76312	VAR76313	VAR76314	VAR76315	VAR76316	VAR76317	VAR76318	VAR76319	VAR76320	VAR76321	VAR76322	VAR76323	VAR76324	VAR76325	VAR76326	VAR76401	VAR76402	VAR76403	VAR76404	VAR76405	VAR76406	VAR76407	VAR76408	VAR76409	VAR76410	VAR76411	VAR76412	VAR76413	VAR76414	VAR76415	VAR76416	VAR76417	VAR76418	VAR76419	VAR76420	VAR76421	VAR76422	VAR76423	VAR76424	VAR76425	VAR76426	VAR76501	VAR76502	VAR76503	VAR76504	VAR76505	VAR76506	VAR76507	VAR76508	VAR76509	VAR76510	VAR76511	VAR76512	VAR76513	VAR76514	VAR76515	VAR76516	VAR76517	VAR76518	VAR76519	VAR76520	VAR76521	VAR76522	VAR76523	VAR76524	VAR76525	VAR76526	VAR76527	VAR76528	VAR76529	VAR76701	VAR76702	VAR76703	VAR76704	VAR76705	VAR76706	VAR76707	VAR76708	VAR76709	VAR76710	VAR76711	VAR76712	VAR76713	VAR76714	VAR76715	VAR76716	VAR76717	VAR76718	VAR76719	VAR76722	VAR76723	VAR76724	VAR76725	VAR76726	VAR76727	VAR76728	VAR806	VAR807	VAR895	VAR896	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR930A	VAR930B	VAR930C	VAR930D	VAR931	VAR956	VAR957	VAR958	VAR959	VAR963	VAR964	VAR965	VAR966	VAR967	VAR968	VAR969	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1061	VAR1062	VAR1113	VAR1114	VAR1115	VAR1116	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1146	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1163	VAR1204	VAR1205	VAR1206	VAR1207	VAR1208	VAR1209	VAR1210	VAR1211	VAR3000	INT000	INT001	INT004	INT071	INT077	INT087	INT168	INT205	INT206	INT209	INT210	INT211	INT214	INT215	INT216	INT217	INT218	INT219	INT221	INT222	INT223	INT225	INT227	INT228	INT229	INT231	INT232	INT234	INT235	INT236	INT237	INT238	INT239	INT240	INT241	INT243	INT244	INT247	INT248	INT249	INT250	INT251	INT252	INT253	INT254	INT255	INT256	INT257	INT265	INT266	INT283	INT284	INT285	INT370	INT371	INT501	INT502	INT503	INT504	INT505	INT506	INT507	INT508	INT509	INT510	INT511	INT512	INT513	INT514	INT515	INT516	INT517	INT518	INT519	INT520
"00837"	837	837	1	-5	2	-5	-5	-2	2	1	7	1	2	48	1	3	-5	2	1	-5	-5	-5	-5	-5	4	1	3	1	1	4	2	1	2	2	1	2	2	1	-5	1	4	1	2	2	2	2	-3	2	1	4	4	3	2	2	3	1	1	3	1	1	3	2	3	3	3	1	1	2	1	3	2	2	2	3	3	3	-2	3	2	5	1	5	2	4	1	3	2	-5	3	2	3	2	3	2	3	2	3	2	2	1	5	47	75	12	5	9	946	123	38	56	5	99	3	2	2	2	2	4	2	4	2	1	2	2	2	-5	-5	-3	-3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-5	-5	2	2	0.59	9	10	1	3	2	3	2	3	3	1926	1827	2	1	1	1	6	-7	1	55	2	48																					1	1	-5	-5	-2	5	1	3	5	1	3	5	5	1	2	2	9	4	5	10	6	8	7	11	12	3	13	2	14	15	1	16	0	0	1	1	1	1	7	6	7	6	7	3	7	7	4	5	5	6	2	2	2	1	2	2	3	2	2	3	3	3	3	2	-3	2	2	3	4	2	1	4	-5	1	15	-5	4	4	1	2	2	1	4	3	4	3	3	3	3	2	3	3	3	2	2	2	3	6	4	1	1	3	1	2	1	4	1	5	2	2	1	1	1	1	5	8	8	7	9	1	3	1	4	1	1	2	1	2	3	2	3	2	2	1	3	1	1	1	1	2	3	2	5	-3	2	2	2	5
"00838"	838	838	1	7240	2	1	1	3	1	3	6	1	1	62	1	2	8	1	4	-5	-5	-5	-5	-5	3	1	3	2	2	4	3	2	3	2	2	1	2	2	3	1	2	1	3	2	3	1	3	2	1	5	3	2	2	2	1	1	2	2	3	1	5	2	3	3	3	1	6	1	1	4	2	1	2	2	2	4	9	3	2	1	1	3	4	4	3	1	1	2	2	-5	1	2	2	-5	2	-5	3	2	2	2	5	47	75	12	5	9	946	123	38	56	5	99	2	2	4	2	5	5	2	5	1	1	2	1	2	-5	-5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	3	3	0.53	14	10	1	4	2	4	2	3	3	1825	1732	4	2	1	1	6	-7	1	62	2	59																					1	2	-5	-5	8	4	2	4	5	2	2	4	4	2	2	2	6	14	5	12	4	16	7	15	10	1	9	11	2	8	3	13	11	0	1	3	1	2	6	6	7	6	7	4	5	6	6	7	6	7	2	3	2	1	2	2	3	3	2	2	2	2	2	2	2	2	2	2	4	1	4	4	26704	1	11	6	1	2	5	2	2	1	2	1	1	1	1	3	4	3	3	2	3	3	2	5	4	6	4	1	1	1	1	2	1	3	2	4	2	3	1	1	1	1	1	9	8	8	11	7	2	1	3	4	4	2	5	5	-3	3	3	2	1	2	4	1	4	4	2	3	3	-3	1	2	-3	1	2	4
"00839"	839	839	1	3231	2	1	2	1	1	3	5	1	2	33	1	2	7	1	1	-5	-5	-5	-5	-5	4	1	3	2	2	4	3	1	3	-3	-3	-3	-3	-3	3	1	2	2	2	2	3	3	2	3	1	5	4	2	2	2	5	1	2	3	3	2	3	2	2	2	2	3	-5	2	1	2	3	1	3	2	1	4	13	3	3	1	3	3	3	4	2	3	2	-5	1	2	1	2	2	-5	1	2	2	2	2	1	5	47	75	12	5	9	946	123	38	56	5	99	2	1	2	4	4	2	2	2	2	1	2	1	2	-5	-5	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	1	1	0.35	16	10	1	3	2	3	1	3	3	1736	1701	2	1	1	1	6	-7	1	30	2	33	2	2																			1	2	4	-5	11	1	1	1	1	2	2	2	4	2	2	2	4	7	3	13	9	15	6	11	8	12	2	14	10	1	5	16	0	2	3	3	1	1	7	8	8	7	8	7	6	6	7	6	7	5	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	3	57210	1	8	0	1	1	4	1	1	1	4	4	4	4	1	3	3	4	2	4	3	2	2	2	3	4	4	1	1	-3	4	4	4	2	4	5	1	3	2	1	1	1	1	4	4	8	4	1	3	2	1	4	4	2	2	2	3	3	2	3	2	2	2	1	1	1	1	-3	2	2	1	1	1	1	3	-3
"00840"	840	840	1	7123	1	-5	1	1	1	2	1	1	1	27	5	2	8	2	2	1	1	3	4	2	3	1	3	1	2	1	2	3	3	2	2	1	1	2	3	1	2	1	2	2	2	1	3	2	3	1	3	3	2	1	5	1	-5	1	3	2	2	2	3	2	3	1	1	2	2	2	3	1	2	2	4	-3	14	3	3	5	3	1	2	3	1	2	1	2	1	3	2	-5	2	-5	2	-5	2	2	2	4	5	47	75	12	5	9	946	123	38	56	5	99	2	4	2	2	1	1	1	1	2	1	2	2	2	38	4	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	1	0.47	14	10	1	3	2	3	2	2	3	1930	1843	4	2	1	1	6	-7	1	27	2	24																					1	1	-5	-5	12	5	5	2	5	2	4	2	4	2	3	3	4	11	6	15	2	10	9	7	3	5	12	14	8	1	13	16	0	0	3	3	3	3	7	8	7	7	7	8	7	8	8	7	6	6	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	26210	1	10	0	5	5	3	1	2	1	4	2	4	4	-3	2	4	3	2	3	2	3	3	3	3	5	-3	2	2	2	2	-3	3	3	4	5	3	3	-3	1	1	-3	1	-3	-3	4	5	1	3	4	3	2	2	2	1	3	4	2	3	3	2	3	3	1	1	1	2	-3	-3	2	1	2	3	2	2	-3
"00844"	844	844	1	5162	1	-5	2	1	3	2	1	1	1	36	1	5	5	2	1	1	1	1	1	2	2	1	3	2	1	4	3	5	2	1	2	1	1	1	3	2	2	1	3	2	2	2	3	2	2	4	1	4	2	1	5	-3	-5	3	1	2	3	2	5	5	1	1	2	2	1	1	1	3	3	2	5	4	15	1	3	1	2	1	2	3	1	3	2	-5	1	3	1	1	3	2	2	-5	3	1	1	2	5	48	76	12	4	7	984	120	37	55	4	99	3	1	5	1	1	4	4	5	1	1	2	2	2	38	4	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	4	1	1	1.04	23	9	1	4	2	2	1	4	3	2138	2034	4	2	1	2	6	-7	1	36	2	39	2	8	2	5																	1	2	4	-5	11	5	1	2	5	2	2	5	5	1	4	4	5	11	3	10	2	16	12	13	1	4	7	15	8	9	6	14	4	0	2	3	2	2	4	5	5	7	7	6	7	8	7	4	5	8	2	3	1	3	2	2	3	2	2	2	3	1	1	3	2	2	1	4	4	2	1	4	54203	1	13	4	1	4	5	1	2	4	4	1	2	4	4	2	4	3	2	5	2	2	1	1	2	3	2	2	3	3	-3	3	3	4	4	4	1	4	1	1	1	1	1	8	8	8	4	1	4	1	3	5	5	4	1	4	2	3	5	5	1	1	1	1	1	1	4	2	3	-3	1	4	3	1	3	2
"00845"	845	845	1	4190	1	-5	2	1	2	2	1	1	2	42	1	4	5	1	1	1	2	3	2	2	3	1	3	1	2	2	2	1	2	1	2	1	1	1	2	2	2	1	2	2	3	2	3	3	2	3	3	3	2	2	4	-3	1	3	3	2	2	2	-3	-3	3	1	1	2	2	5	3	1	3	3	2	2	15	2	3	1	1	-3	2	3	2	1	2	-5	2	-5	2	-5	3	3	3	2	3	2	1	3	5	48	76	12	4	7	984	120	37	55	4	99	3	1	2	1	2	2	1	5	1	1	1	1	2	20	-3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1.01	22	9	1	4	1	2	2	3	3	1635	1534	2	1	1	2	6	-7	1	48	2	42	1	13	1	11																	1	1	4	-5	13	4	2	3	4	2	2	4	3	2	4	4	4	9	10	8	7	15	12	16	5	3	13	14	6	1	2	11	2	0	2	3	2	2	4	6	8	6	6	7	6	8	4	6	5	5	2	3	2	2	3	2	2	3	2	3	2	3	3	3	3	3	3	2	4	3	2	3	31506	1	10	0	3	4	5	2	2	3	4	2	4	3	1	2	4	3	2	3	2	2	2	2	3	4	-3	3	3	3	2	2	-3	3	4	5	2	4	-3	1	1	1	1	8	8	8	10	2	3	2	1	3	2	2	1	2	3	2	4	4	4	2	3	1	1	4	4	2	3	2	1	3	3	2	4	2
"00847"	847	847	1	5220	2	1	1	5	2	4	8	1	2	82	4	3	7	1	1	-5	-5	-5	-5	-5	4	1	3	1	1	4	2	4	1	2	1	1	1	1	-5	1	2	1	2	-3	-3	-3	-3	-3	1	-3	5	3	2	2	5	-3	2	2	3	1	3	-3	2	3	3	1	6	1	1	5	3	-3	2	3	1	4	-2	2	3	1	2	-3	3	4	2	3	2	-5	2	-5	2	-5	2	-5	-3	-5	3	2	2	1	5	49	78	12	5	6	888	124	39	57	4	14	2	7	2	4	2	4	4	4	-3	-3	-3	-3	-3	-5	-5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	-5	3	3	0.42	22	10	1	3	2	3	2	3	3	1517	1435	4	1	1	1	6	-7			2	82																					-5	1	-5	-5	-2	5	2	4	1	2	1	3	4	2	2	2	1	7	11	10	14	8	16	13	2	15	9	12	5	4	6	3	0	0	1	1	1	1	7	5	6	8	8	9	7	6	6	6	7	5	2	2	2	2	2	2	3	2	2	3	2	2	3	-3	3	-3	-3	2	4	2	3	3	31701	1	11	0	2	2	1	1	2	2	2	1	1	4	1	4	4	-3	3	2	3	3	2	3	3	6	4	2	2	2	2	1	4	4	3	5	2	4	-3	1	1	1	7	9	9	9	7	1	2	1	4	2	-3	1	-3	2	3	3	4	2	2	2	4	1	1	1	1	2	3	1	1	2	4	4	4	3
"00848"	848	848	1	4142	2	1	1	5	1	3	8	1	1	62	1	2	7	1	1	-5	-5	-5	-5	-5	-3	1	3	2	1	4	3	1	1	2	1	1	1	2	-5	1	2	2	3	3	3	-3	3	3	1	5	5	1	2	2	5	1	2	2	3	1	3	2	2	1	1	1	-3	1	1	4	1	1	2	3	5	3	-2	1	3	5	2	2	-3	4	2	4	2	-5	3	1	1	2	1	2	1	2	1	2	1	1	5	49	78	12	5	6	888	124	39	57	4	14	2	1	5	5	5	5	5	5	2	-3	-3	-3	2	-5	-5	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-5	-5	3	3	1.09	16	10	1	4	2	4	2	4	3	1212	1103	3	2	3	1	1	-7	1	62	2	58	2	16																			1	1	1	-5	-2	5	3	5	1	1	1	3	1	4	4	2	1	6	11	7	12	15	2	10	8	3	14	9	4	13	5	16	0	0	1	1	1	1	6	-3	6	5	5	5	5	6	6	6	6	6	3	3	-3	3	3	3	3	3	3	2	2	3	1	3	3	3	1	1	4	1	1	-3	28208	1	10	80	2	2	5	1	3	1	-3	1	-3	4	2	4	4	3	4	3	5	3	2	2	2	3	4	-3	-3	-3	-3	3	-3	5	2	4	2	4	2	1	1	1	1	8	8	8	-3	1	3	1	2	2	2	5	-3	3	1	2	2	2	2	2	2	1	1	1	1	2	3	1	1	4	4	4	4	4
"00849"	849	849	1	-5	1	-5	-5	10	2	1	9	1	2	59	1	7	-5	2	4	1	1	2	2	2	4	1	3	-3	2	4	3	1	3	2	2	2	1	2	3	1	3	-3	-3	-3	-3	-3	-3	-3	1	4	5	3	2	2	4	1	1	1	1	2	2	2	3	-3	2	1	6	1	-3	3	1	1	2	3	2	-3	-3	5	3	1	2	3	2	4	2	3	2	-5	-3	-5	-3	-5	3	-3	1	2	-3	2	1	3	5	48	76	12	5	7	889	121	37	55	4	99	2	1	2	4	2	4	4	4	1	1	1	1	2	10	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	1.21	8	10	1	7	1	2	2	3	3	1122	1001	4	1	2	3	4	-7	1	61	2	59	1	24																			1	2	1	-5	-3	5	2	3	4	2	2	2	4	2	2	2	11	13	8	7	14	16	12	10	5	9	1	3	6	2	4	15	0	10	3	3	3	2	4	4	-3	5	5	6	5	6	6	7	1	-3	2	3	3	-3	3	3	3	3	3	2	2	3	1	3	3	-3	1	1	-3	2	2	4	-5	1	17	-5	2	5	5	1	2	1	3	1	4	3	3	2	4	3	3	4	3	2	1	1	3	4	4	1	2	4	4	3	3	3	4	4	2	4	2	1	1	1	5	9	8	9	6	1	3	4	2	2	5	3	1	1	4	2	3	2	4	2	4	1	4	1	1	2	3	2	5	3	2	3	2	2
"00850"	850	850	1	7124	1	-5	1	1	1	3	1	1	1	43	1	2	8	1	1	1	1	3	2	2	-3	1	2	2	2	-3	2	2	3	2	2	2	2	2	3	1	2	-3	-3	2	2	-3	-3	-3	1	4	4	2	2	2	4	2	1	3	1	-3	5	2	-3	3	2	1	1	2	1	-3	2	1	4	2	3	3	15	3	3	5	3	3	2	4	2	2	1	2	2	-5	2	-5	1	3	2	-5	-3	2	2	-3	5	48	76	12	5	7	889	121	37	55	4	99	3	1	2	2	2	3	2	4	1	1	1	1	2	38	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	0.57	19	10	1	3	2	3	2	2	3	1938	1841	4	2	3	3	1	-7	1	43	2	43	1	16	1	14																	1	1	4	-5	13	2	2	3	4	2	4	2	4	4	2	2	4	6	5	1	3	16	9	15	8	2	11	12	7	10	14	13	3	0	2	3	2	3	5	-3	7	7	7	5	6	7	7	7	6	7	2	3	-3	-3	3	2	3	2	1	2	2	-3	-3	2	2	2	2	-3	4	2	1	3	26211	1	9	0	4	4	5	2	2	2	4	1	3	3	2	3	4	3	3	3	2	2	2	2	3	5	4	3	3	3	2	2	3	2	3	4	2	2	2	1	1	1	1	8	8	8	10	4	3	1	3	3	3	3	2	2	3	2	4	3	3	4	4	1	1	1	4	2	2	2	1	4	4	3	4	3
"00851"	851	851	1	-5	2	2	-5	14	1	3	8	1	2	62	1	2	-5	1	2	-5	-5	-5	-5	-5	-3	1	3	1	-3	4	1	2	2	2	2	1	1	1	-5	1	2	1	2	2	2	-3	-3	2	1	4	4	3	2	2	2	-3	2	3	1	2	2	1	3	3	3	1	1	1	1	2	1	3	2	2	4	2	-3	3	3	1	2	-3	4	4	1	2	2	-5	2	-5	1	2	2	-5	1	1	3	2	1	3	5	48	76	12	5	7	889	121	37	55	4	99	3	1	4	4	2	4	2	5	1	1	1	1	2	-5	-5	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-5	-5	3	2	1.18	7	10	1	5	2	4	2	2	3	1730	1612	4	1	2	1	4	-7	1	64	2	62	1	31																			1	2	1	-5	-3	2	1	2	3	1	4	4	1	4	2	4	2	9	4	5	15	10	6	7	12	1	13	8	3	14	11	16	0	0	2	3	2	3	6	5	6	6	6	4	6	5	5	6	3	6	2	2	2	2	3	2	3	2	-3	2	2	3	2	2	2	2	-3	3	-3	2	-3	3	-5	1	8	-5	1	1	5	2	2	1	2	1	-3	4	1	2	4	3	3	-3	4	3	1	2	3	5	-3	-3	-3	-3	-3	3	-3	4	4	2	2	2	2	1	1	1	1	8	8	8	6	-3	4	1	3	2	3	2	2	4	-3	2	3	4	3	2	4	1	1	1	1	1	3	1	1	4	4	3	4	-3
"00854"	854	854	1	9132	1	-5	1	1	1	3	1	1	2	51	3	2	7	1	3	1	1	2	4	2	2	-3	2	-3	1	4	1	-3	4	2	2	1	1	2	3	1	2	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	2	2	4	2	2	3	1	2	3	-3	-3	3	-3	1	-3	1	-3	5	2	1	2	3	4	2	-3	5	3	1	1	3	4	4	2	1	2	-5	2	-5	-3	-5	3	1	-3	-5	3	2	1	4	5	48	76	12	5	7	889	121	37	55	4	99	3	6	2	3	2	5	2	5	1	-3	2	1	2	15	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	-5	2	3	1.05	7	10	1	4	2	4	2	2	3	1459	1354	2	2	1	2	6	-7			2	51	2	14																			-5	1	4	-5	5	4	2	4	4	1	2	4	5	3	5	4	3	15	5	7	13	14	12	11	6	2	9	8	10	1	4	16	0	0	3	3	3	2	5	-3	-3	7	7	6	7	7	7	7	5	7	2	3	-3	-3	2	2	3	2	2	3	2	3	2	2	2	2	-3	-3	-3	-3	2	3	11133	1	8	0	5	5	1	2	2	1	4	1	3	4	2	2	3	3	4	3	3	3	2	2	-3	3	-6	4	-3	-3	4	4	4	3	4	3	3	3	2	1	1	1	-6	6	4	8	5	1	4	1	3	2	2	2	2	2	3	2	4	3	2	2	3	1	1	1	1	2	3	2	1	4	4	4	3	-3
"00856"	856	856	1	3440	1	-5	2	1	1	3	1	1	1	59	1	2	6	1	1	1	1	1	4	2	4	1	3	1	1	4	3	2	2	2	1	1	1	2	3	2	2	1	3	2	3	3	3	3	1	4	4	2	2	2	-3	-3	2	2	3	1	3	2	3	3	2	1	6	1	2	2	2	1	2	3	4	4	-2	1	3	4	1	3	-3	-3	2	3	2	-5	-3	-5	2	-5	3	1	1	1	3	2	2	2	5	48	76	12	6	8	890	121	37	55	5	99	3	2	4	2	4	5	4	5	1	1	1	1	2	32	4	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	1.1	7	10	1	3	2	4	2	3	3	1114	1004	3	2	1	3	6	-7	1	59	2	58																					1	2	-5	-5	-2	3	2	4	4	1	2	4	2	4	2	2	5	7	13	9	12	4	6	16	1	10	2	3	15	8	11	14	0	4	2	3	2	2	7	6	6	7	8	7	6	8	5	7	6	5	2	3	3	3	3	2	3	3	2	3	3	3	3	2	3	2	1	3	4	1	1	1	53203	1	9	0	2	3	5	1	2	1	-3	2	1	3	3	4	4	2	2	2	3	2	2	3	3	6	4	-6	-6	-6	-6	2	1	3	3	4	3	4	1	1	1	1	1	-3	-3	-3	-3	-3	-3	4	1	2	3	2	1	2	3	2	5	3	4	2	4	2	4	1	2	2	3	1	1	4	4	3	4	4
