Volgnummer	VeldwerkPeriode	Variant_CV	Datum_ref	PLHH	M_V	lft5	Lft11	BurgSt	JongKind	BetWerk	Zelfstan	Meewerk	BetWrkNu	EenMeerW	UrTot	UrTotIndik	UrSchat	AFL_UrTot	WrkNemer	BedrPrak	MaatsPos	Ooit12	VAR1061A	VAR1061B	VAR1062A	VAR1062B	VAR2000	VAR2001	VAR2002	VAR2003	VAR2004	VAR401	VAR648s	VAR149s	VAR1358	VAR058	VAR059	VAR365	VAR091	VAR055	VAR066	VAR092s	VAR571s	VAR573s	VAR154	VAR155	VAR156	VAR157A	VAR154A	VAR164	VAR165	VAR1344	VAR198A	VAR198	VAR201A	VAR201B	VAR204	INT229	VAR1345	VAR211	VAR205	VAR1346	VAR1320	VAR1321	VAR1322	VAR1366	VAR1367	VAR229	INT218s	INT219s	INT221s	INT222s	VAR439s	VAR1329s	VAR1330s	VAR446s	VAR447s	INT313	INT314	VAR1331	VW065	VAR2005	VAR491s	VAR040	VAR1304	VAR1146	VAR180	VAR183	VAR184	VAR185	VAR274s	VAR275	VAR275_A	VAR1196	VAR1197	VAR461s	VAR273s_a	VAR273s_b	VAR239	VAR318	VAR319	VAR320	VAR1209	VAR1210	VAR599s	VAR600s	VAR408	VAR409	VAR1046sA	VAR1046sB	VAR1046sC	VAR1046sD	VAR1046sE	VAR1046sJ	VAR1046sK	VAR1046sL	VAR1046sM	VAR1046sN	VAR1046sO	VAR1046sP	VAR247	VAR251	VAR253	VAR260	VAR448	VAR451	VAR687s	VAR689s	VAR953	VAR1265	VAR351s	VAR595	VAR1335	VAR2006	VAR2007	VAR2008	VAR2009	VAR2010	VAR1352	VAR1353	VAR1368	VAR1369	VAR1370	VAR544s	VAR1355	VAR757BM41	VAR1318s	VAR347s	VAR357	INT076	VAR2011	VAR1338	VAR516	VAR683Bs	VAR728Bs	VAR729Bs	VAR546	VAR758	VAR759	VAR1031	VAR1103	VAR1104	VAR1106	VAR1315A	VAR1139	VAR1359	VAR1360	VAR1361	VAR1362	VAR1363	VAR1364	VAR1371	VAR1372	VAR1365	VAR1311	VAR1312	VAR1313	VAR1314	Overhand	Variant_SLI	V03	V04	V05	V06	V07	V08	V091	V092	V093	V094	V095	V10	V11	V121	V122	V123	V131	V132	V133	V134	V14	V151	V152	V153	V1601	V1602	V1603	V1604	V1605	V1606	V1607	V1608	V1609	V1610	V1611	V17	V18	V19	V201	V202	V203	V204	V205	V206	V211	V212	V213	V214	V215	V22	V231	V232	V233	V241	V242	V243	V251	V252	V253	V254	V261	V262	V263	V264	V271	V272	V273	V274	V275	V276	V281	V282	V283	V284	V285	V291	V292	V293	V294	V295	V30	V31	V32	V33	V34	V3501	V3502	V3503	V3504	V3505	V3506	V3507	V3508	V3509	V3510	V3601	V3602	V3603	V3604	V3605	V3606	V3607	V3608	V3609	V3610	V3611	V3612	V3613	V37	V38	V39	V40	V41	V421	V422	V4301	V4302	V4303	V4304	V4305	V4306	V4307	V4308	V4309	V4310	V44	V45	V46	V47	V481	V482	V483	V484	V485	V491	V492	V493	V494	V501	V502	V503	V504	V51	V521	V522	V523	V53	V541	V542	V551	V552	V561	V562	V57	V581	V582	V583	V584	V585	V586	V59	V60	V611	V612	V613	V6201	V6202	V6203	V6204	V6205	V6206	V6207	V6208	V6209	V6210	V6211	V6212	V6213	V6214	V631	V632	V633	V634	V635	V64	V65	V66	V671	V672	V673	V674	V675	V676	V677	V681	V682	V683	V684	V685	V691	V692	V693	V70	V71	V7201	V7202	V7203	V7204	V7205	V7206	V7207	V7208	V7209	V7210	V7211	V73	V741	V742	V743	V744	V745	V746	V747	V75	V77	Herkomst3	TypeHH	StedGem	BVRHINK	BVRBBIHALG1	CATBVRPRIMINKH	CATBVRBESTINKH	CATBVRBRUTINKH	CATBVRGESTINKH	PINK	CATPERSINK	CATPERSPRIM	CATPERSBRUT	SECCOAL1	CWI_INGESCHREVEN	CWI2	Afl_SOI3_HB	CV_EindGewicht	SLI_EindGewicht
2344	201702	1	"08022017"	1	2	3	7	2	1	1			1	1	20	3		1	1				2		1	2	2	2	1	2	2	2	7	2	4	1	1	1	1	1	4	2	1	2	2	2	1	2	1	1	4	4	2		2		5	2	2	2	2	2	1	4	2	3	4	3	4	3	3	3	3	2	4	3	3	2	2	2	1	4	4	3	2	3	1	2	1	1	1	3	" "	1	1	3	3		2	2	2	1	2	2	2	2	3	2	9	7	7	9	8	9	9	7	8	8	8	7	6	6	4	4	2	4	1	2	2	3	5	3	4	3	5	4	4	2	3	3	4	3	2	3	2	1	1	2	2	3	4	4	2	3	3	3	1	1	1	2	2	2	2	1	1	50	50	50	50	50	50	50	50	50	3	2	2	2	1	2	2	1	6	77	7	2001	2	2	2	5	2	4	4	3	3	3	3	3	3	3	2	5	4	5	8	8	8	8	8	7	7	8	7	7	6	2	8	2	1	3	1	1	1	2	1	1	1	3	9	5	1	2	2	3	2	3	2	2	2	4	4	2	3	4	3	2	4	3	3	2	4	2	4	4	4	5	4	4	4	3	2	3		1	4	2	1	2	2	2	1	2	2	2	999	2	1	2	2	2	9	1	1	1	2	2	2	999			1		3	4	2	1	2	1	3	2	3	1	4	3	3	2	1	5	2	1	1	1	1	1	3	1	1	1	3	3	3	3	2				3	3	3	3	3	3	3	2	3	3	2	2	3	2	3	2				1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	2	1	1	4	2	4	1	1	2	1	2	2	1	8	7	8	7	7	8	8	8	1	5	2	5	5	5	1	5	5	5	5	5	5	4	4	2	4	4	4	4	4	1	2	1	2	2	1	1	6	6	6	5	1	3	4	4	2	0	1	3	4278.369377	4556.242384
2345	201702	1	"22022017"	1	1	5	9	1	2	1			1	1	24	3		1	1				1	4	1	2	2	1	1	1	2	3	8	2	5	1	1	1	1	1		4	3	3	2	9	9	9	1	2	3	2	2		2		5	1	4	2	2	4	2	2	3	4	4	3	2	3	5	2	2	3	3	3	4	2	2	2	2	2	2	1	1	2	1	1	1	1	1	10	" "	1	1	2	3		2	2	2	2	3	3	2	1	3	1	10	8	8	8	8	10	6	6	8	5	8	6	1	7	2	2	4	5	1	1	2	3	1	1	3	4	5	4	5	4	1	2	3	2	3	1	2	1	1	1	2	2	3	2	1	3	3	3	1	1	1	2	2	4	2	4	2	0	40	40	60	80	60	60	40	80	3	3	1	2	1	2	3	1	3	90	7	2015	4	3	4	2	2	2	2	2	2	3	3	4	3	2	2	5	5	5	10	8	8	8	8	8	8	8	8	7	7	2	8	2	2	3	3	3	3	1	1	4	4	4	5	2	3	3	1	2	2	2	1	1	1	4	2	2	4	2	4	2	4	2	4	2	4	4	4	4	3	3	5	4	5	3	1	3		2	4	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1			2	4				1	1	1	1	1	1	1	2	1	1	3	1	3	1	1	1	1	1	1	4	1	1	4	3	3	3	3	1	3	2	3	3	3	3	5	5	5	5	2	4	4	2	3	4	2	4	2				1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	9	4	2	5	2	2	2	2	2	2	2	8	8	8	8	6	10	10	8	1	1	1	5	2	5	2	3	5	5	3	2	4	4	2	3	4	5	1	4	5	1	2	1	3	2	1	2	6	5	6	4	1	5	6	6	2	0	1	2	4538.681985	5333.52084
2346	201702	1	"16022017"	1	2	5	9	1	2	1			1	1	25	3		1	1				2		2		2	6	1	4	4	2	7	2	1	1	1	1	1	1		4	3	3	1	1	1	2	1	2	4	5	1	1	1	1	2	6	1	1	1	2	2	2	1	2	2	3	2	2	2	1	4	2	2	3	3	2	2	1	1	1	1	1	1	2	2	2	2	2	1	14	" "	1	1	3	2	2	2	2	2	2	3	4	2	2	2	1	8	4	6	7	6	9	8	7	8	8	8	8	1	6	9	4	4	5	1	1	2	4	4	1	5	5	4	4	5	4	4	4	4	4	2	3	2	1	1	2	3	2	3	1	3	3	3	3	1	9	1	2	1	3	1	9	1	70	60	80	80	70	80	70	70	80	3	3	9	9	1	2	3	1	3	50	7	2007	1	1	1	5	3	2	2	3	3	3	3	4	3	4	2	6	6	6	8	8	8	8	8	8	8	8	8	8	8	1	8	2	1	3	1	1	1	3	1	1	1	2	3	3	1	1	1	2	2	1	1	1	1	4	1	1	5	1	4	2	4	2	4	2	3	3	3	4	4	3	4	4	4	4	1	3		1	3	2	1	2	2	1	1	1	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	2	1		1	3		2	1	1	2	1	1	3	4	3	1	2	1	3	1	1	1	1	2	2	2	2	2	2	3	3	3	3	2				3	3	3	5	5	5	5	1	4	5	3	2	5	1	5	2				1	1	1	1	1	1	1	1	3	3	1	3	1	1	1	1	1	1	9	4	2	5	1	2	2	1	2	2	2	9	9	9	9	7	10	10	10	1	5	1	5	5	5	1	5	5	5	5	5	5	9	5	3	4	5	1	5	5	9	1	1	3	2	1	2	6	6	6	4	1	4	4	4	2	0	1	2	5013.633889	5610.142031
2347	201702	1	"28022017"	1	2	4	8	1	2	1			1	1	20	3		1	1				2		2		4	2	2	3	4	2	9	2	5	2	1	1	1	2		4	1	1	1	2	2	2	9	1	5	4	1	2	2		5	1	4	2	2	3	3	3	3	4	3	2	4	2	5	3	4	2	2	2	2	1	2	3	1	4	3	1	2	2	1	2	1	1	1	14	" "	1	1	3	3		2	2	2	2	1	2	2	2	3	1	9	8	8	9	9	9	8	7	9	9	9	8	2	6	4	3	4	5	1	1	2	2	5	2	4	3	4	4	4	3	4	4	4	4	2	1	1	1	1	1	4	2	4	4	1	3	3	3	1	1	1	2	1	3	2	1	2	40	70	20	60	70	80	60	40	80	2	3	3	3	1	1	2	2	4	55	5	1986	2	2	2	4	2	1	2	3	3	3	3	3	2	2	2	4	4	5	8	8	9	8	8	9	9	9	8	7	7	1	10	2	1	3	1	1	1	3	5	1	1	2	3	3	1	1	1	2	2	2	1	1	1	4	2	2	4	2	4	2	2	2	4	2	3	4	4	4	4	4	4	4	4	3	2	2		1	4	2	1	2	2	1	2	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	2	1		1	4	3	1	1	1	1	1	1	1	3	1	1	3	1	4	1	1	1	1	1	2	3	1	4	1	3	3	3	3	1	3	3	3	3	1	1	2	2	5	5	1	5	5	2	4	5	2	2	1	1	2	2	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	9	4	3	5	2	2	2	2	2	2	2	8	8	7	7	6	7	9	8	1	6	1	5	4	5	1	5	4	5	5	5	4	5	4	4	4	5	1	4	5			1	2	2	1	1	6	6	6	3	1	2	2	2	1	0	1	1	4745.057342	5068.67901
2348	201702	1	"09022017"	1	2	5	10	2	2	2	2	2	2					3			7	1	2		2		1	1	6	3	2	3	8	1		1	1	1	1	2		4	3	1	2	2	1	1	1	1	5	5	1	3	1	3	2	6	1	1	1	1	1	3	2	4	4	2	4	5	5	2	1	1	4	5	5	2	2	2	1	2	2	1	2	2	1	1	1	1	2		" "	1	2	2	3		1	1	1	1	3	3	2	2	2	1	8	5	9	9	8	9	9	8	8	9	8	9	7	7	2	6	5	5	1	2	2	3	5	2	5	4	4	4	4	1	5	5	5	5	2	2	1	1	1	1	4	1	4	1	2	3	3	3	1	1	1	2	1	3	2	1	1	40	40	40	40	20	90	80	999	90	2	3	2	1	1	2	2	1	4	36	2	2010	2	2	2	3	1	1	1	3	3	3	3	3	4	4	3	4	4	4	10	10	10	10	10	8	8	99	10	10	6	2	10	2	1	3	1	1	1	2	1	2	2	3	6	3	1	9	1	4	4	4	1	2	2	4	2	2	4	2	3	2	2	2	4	2	4	4	4	4	4	4	4	3	4	3	2	3		1	1	2	2	2	2	2	1	1	9	9	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	2	2	4				3	1	1	1	1	2	1	3	2	1	2	1	2	2	2	1	1	2	2	3	3	3	5	3	3	3	3	1	3	2	9	4	3	3	3	3	5	5	2	3	4	2	3	4	2	3	1	1	2	1	1	1	3	1	3	3	1	1	3	3	1	1	3	1	1	1	1	1	9	5	2	4	2	2	2	2	2	2	2	10	10	10	10	10	10	10	10	1	4	1	4	1	4	2	4	1	4	4	2	2	5	2	4	4	4	2	4	4	2	2	1	1	3	1	9	1	4	4	4	1	4	1	4	11	0	1	3	4088.031142	5390.521412
2349	201702	1	"13022017"	1	1	5	11	1	2	2	2	2	2					3			7	1	1	4	2		1	1	6	4	2	2	8	1		1	1	1	2	2		3	1	1	1	9	9	9	9	1	4	5	1	1	1	1	1	6	1	1	1	4	4	5	3	2	2	5	3	3	2	2	5	2	3	3	2	3	2	2	1	6	2	1	2	2	2	2	1	2	1	1	" "	1	1	3	3		2	1	1	1	2	3	2	2	3	2	7	7	6	6	6	7	7	1	8	8	8	8	2	6	6	6	3	3	2	2	3	2	6	2	4	5	4	4	4	2	5	5	5	3	2	3	3	1	1	2	2	3	3	1	2	3	1	3	1	2	1	2	2	2	2	2	1	70	70	80	80	80	90	80	70	100	2	3	3	3	2																																																																																																																																																																																																																																			1	3	3	1	9	1	6	6	4	1	6	1	6	11	0	1	3	6160.34127	
2350	201702	1	"09022017"	1	2	2	5	1	1	1			1	1	32	4		1	1				2		2		2	1	1	1	4	1	8	2	4	2	1	1	1	1	4	4	2	3	2	2	1	2	2	1	4	4	2		2		5	2	3	3	3	3	2	3	2	3	2	2	3	2	3	2	6	2	3	2	3	3	2	2	1	2	3	2	2	2	1	2	1	1	1	1	" "	2	2	2	3		2	2	1	1	2	2	2	2	2	1	8	7	8	8	8	8	7	7	8	8	7	8	2	6	7	3	2	4	1	1	2	4	5	3	3	5	4	4	4	3	4	4	4	4	2	3	2	1	1	1	4	3	3	2	3	1	3	3	1	1	1	2	2	2	1	2	2	70	70	70	70	70	70	70	70	70	2	2	3	2	1																																																																																																																																																																																																																																			1	2	3	1	1	6	5	6	3	1	4	5	5	1	0	1	2	4790.923927	
2351	201702	1	"07022017"	1	2	4	8	2	2	1			1	1	40	4		1	1				2		2		2	1	2	3	3	2	8	2	4	1	1	1	1	1		3	3	1	2	1	1	2	2	2	4	4	2		2		5	1	4	2	2	3	2	2	3	4	4	3	3	3	5	2	3	1	3	4	4	2	2	2	1	2	2	3	2	2	1	2	1	1	1	3	" "	1	1	4	1	2	2	2	2	1	2	2	2	2	3	1	9	7	6	9	7	9	8	8	8	9	9	6	2	5	5	4	4	5	2	1	2	2	5	2	4	4	4	4	4	3	4	4	4	4	2	3	2	1	1	1	5	3	5	2	2	3	3	3	1	1	1	2	2	4	3	2	2	65	65	65	65	65	65	50	60	70	2	2	2	3	1	1	3	1	3	80	5		4	3	4	3	2	2	2	3	2	3	3	4	3	3	2	4	5	4	8	7	9	7	7	8	7	7	5	7	6	2	8	3	1	3	1	1	2	2	1	1	2	4	3	4	1	2	1	2	2	2	1	2	2	4	2	2	4	2	4	2	4	2	4	2	3	4	4	4	4	4	3	4	3	3	3	1	5		4	2	1	2	2	2	2	2	2	2	999	2	2	2	2	2	2	2	2	2	2	2	1	999			1		2	3		1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	3	5	3	3	3	3	2				2	3	3	5	5	5	5	1	5	4	2	2	4	2	5	2				1	1	3	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1	1	3	2	5	2	2	2	2	2	2	2	8	8	8	8	7	7	7	8	1	5	1	5	4	5	1	5	4	5	5	5	4	5	5	3	5	5	1	3	5			1	3	2	1	5	6	5	6	4	1	4	4	5	1	0	1	2	4458.410436	4434.925287
2352	201702	1	"08022017"	1	1	4	8	2	2	1			1	1	36	4		1	1				2		2		4	6	2	2	2	2	7	2	2	1	1	1	1	1		3	2	2	2	1	1	1	1	1	4	4	2		2		4	2	3	1	2	2	2	1	2	9	1	2	4	2	2	1	5	1	5	3	3	1	2	2	1	2	1	1	2	2	1	2	1	1	1	3	" "	1	1	3	1	2	2	2	2	2	1	1	2	2	2	2	7	9	3	8	2	7	8	8	5	7	6	6	5	5	5	5	4	4	2	1	3	4	5	1	3	4	4	3	4	3	4	4	4	2	3	3	2	1	1	2	3	3	3	2	3	3	3	3	1	1	1	2	2	3	2	1	1	70	70	80	70	50	70	999	999	70	2	3	2	2	1	1	2	1	4	111	8		1	1	1	5	2	2	2	3	3	3	4	4	4	3	2	5	4	5	8	8	7	6	9	8	7	6	6	8	6	2	9	4	1	3	1	2	2	3	1	1	1	2	5	3	1	1	1	2	2	2	2	2	3	3	4	3	4	2	4	2	2	3	2	2	4	3	4	5	5	4	4	5	3	3	3	1	5		2	2	1	2	1	1	1	2	2	1	3	2	2	2	1	2	2	2	2	2	2	2	2	999			2	7				1	2	1	1	1	1	1	4	3	3	2	1	3	1	1	1	1	1	1	1	1	2	3	3	3	3	3	2				3	3	3	5	5	4	4	1	4	5	2	3	4	2	4	2				1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	3	4	2	2	2	1	2	2	2	9	10	8	10	7	10	10	10	1	1	1	5	4	6	1	5	4	5	5	4	4	5	5	4	4	4	2	4	4			2	3	2	1	1	6	6	6	4	1	5	6	6	1	0	1	3	7650.671484	9014.337384
2353	201702	1	"28022017"	1	2	5	9	1	2	1			1	1	16	3		1	1				2		1	4	4	2	2	2	4	2	7	3	5	1	2	1	2	1		4	2	1	1	2	2	2	1	1	3	4	1	1	2		5	4	2	1	2	4	2	2	2	3	3	3	4	2	3	2	4	4	4	2	2	2	2	2	1	3	3	3	2	2	1	2	2	1	2		" "	1	1	3	3		2	2	1	1	2	2	2	2	3	1	8	8	3	7	7	8	8	6	7	7	7	7	5	6	5	5	1	2	1	1	4	2	4	2	4	4	4	4	4	4	4	4	4	4	2	3	2	1	1	2	2	2	2	1	1	3	3	3	1	1	1	1	2	2	2	4	2	70	80	8	80	80	80	80	80	80	2	3	2	2	1	1	3	9	3	9999	99	2014	3	2	3	3	3	3	3	3	2	2	3	3	3	3	4	2	5	5	7	7	7	7	7	7	6	7	7	7	5	3	8	3	1	3	1	1	2	3	1	1	5	5	5	3	1	1	3	3	3	2	1	1	1	4	2	2	5	3	1	1	1	1	1	1	4	4	4	4	4	3	4	4	5	4	3	1	6		4	9	9	9	9	9	9	9	9	9	999	9	9	9	9	9	9	9	9	9	9	9	9	999	9	9	9	9	999	9		1	9	9	9	9	9	9	9	9	9	2	1	2	1	2	2	2	2	2	3	2	3	9	3	3	3	3	2				3	3	3	5	5	4	4	1	4	4	2	2	4	2	5	2				1	1	9	1	1	1	3	3	1	1	3	9	1	1	1	1	1	2	9	4	1	3	1	1	1	1	1	1	1	99	99	99	99	99	99	99	99	1	5	1	6	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9			1	3	2	1	8	1	3	5	2	1	1	1	1	1	0	1	1	6330.423447	7692.52539
2354	201702	1	"09022017"	1	1	2	6	1	1	1			1	1	40	4		1	1				1	1	2		2	2	2	1	2	1	7	3	5	1	1	1	1	1	4	4	2	3	1	2	1	1	2	2	3	4	1	3	1	3	1	6	1	1	1	1	5	1	3	1	1	3	5	4	1	2	5	2	5	5	5	3	2	1	2	4	4	2	2	3	1	2	1	1	2		" "	2	2	5	3		2	2	2	2	1	2	1	2	3	1	10	7	6	10	2	10	10	6	8	5	8	3	2	5	3	6	5	4	1	1	2	4	5	2	4	5	3	3	1	1	3	5	4	1	2	2	3	2	2	5	1	1	2	1	2	3	3	3	3	2	1	3	2	4	3	3	3	0	1	30	50	40	70	30	4	100	4	1	1	1	1	2	2	1	5	45	6	2010	4	2	5	2	1	5	3	3	2	3	4	4	4	4	1	5	4	5	8	2	9	7	9	6	6	7	4	6	1	3	6	3	1	2	1	1	1	3	1	1	5	5	5	3	1	2	1	2	1	1	1	1	2	4	3	4	2	4	3	1	5	1	4	2	4	5	3	4	5	5	5	5	5	4	3	3		1	4	2	1	2	2	2	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	999			1		2	4	2	1	2	1	2	1	1	1	3	2	3	1	2		1	1	1	1	1	1	1	1	1	1	3	3	3	3	2				1	3	3	5	5	5	5	1	4	5	2	3	3	3	5	2				1	1	3	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	4	1	5	2	2	2	2	2	2	2	8	8	6	7	5	9	8	5	1	1	3	5	1	2	5	1	3	1	1	1	5	3	1	1	3	3	5	1	3	3	3	1	2	2	1	1	6	5	6	3	1	5	6	6	1	0	1	3	4891.053604	6433.442382
2355	201702	1	"08022017"	1	1	4	8	1	2	1			1	1	38	4		1	1				2		2		2	1	1	2	4	2	9	2	5	1	1	1	2	1		3	2	1	2	1	1	2	1	1	5	4	1	2	2		5	4	3	2	2	3	2	4	3	3	2	2	3	3	4	2	5	2	1	4	4	2	2	2	1	4	2	1	2	2	2	2	1	1	1	6	" "	1	1	2	3		2	2	2	1	2	4	2	2	2	1	9	6	8	7	8	9	10	8	8	7	9	7	1	5	5	1	3	4	2	2	2	1	5	1	4	4	4	4	3	2	4	5	3	3	2	1	1	1	1	2	5	4	5	3	3	3	3	3	1	1	1	3	1	3	3	2	1	90	100	90	100	100	100	100	100	100	1	3	2	2	1	2	2	1	5	45	5	1990	2	2	4	4	2	4	2	3	3	3	4	4	4	3	2	3	4	5	9	7	8	7	7	9	6	7	4	7	8	2	10	2	3	3	2	2	3	1	1	2	3	5	5	3	2	1	1	3	2	2	2	1	1	2	2	2	4	3	4	3	3	2	3	3	4	4	3	4	4	3	2	4	4	2	4	2		1	3	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	999	2		1		1	2		1	3	1	2	4	1	2	4	3	2	3	1	4	1	1	1	1	1	1	5	1	1	3	3	3	3	3	1	3	3	3	2	3	3	5	5	3	4	1	5	5	2	3	4	2	5	2				1	1	3	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	4	2	5	2	2	2	2	2	2	1	8	9	7	8	4	9	10	4	1	1	1	5	5	5	1	5	5	5	5	5	5	5	5	3	5	5	1	3	5	2	2	1	2	2	1	2	6	6	6	4	1	6	6	6	2	0	1	2	5117.325222	6046.68326
2356	201702	1	"15022017"	1	2	5	11	2	2	2	2	2	2					3			7	1	2		2		5	4	6	4	5	3	6	2		1	2	2	1	2		4	2	9	2	9	9	9	9	1	6	6	1	1	2		5	6	1	2	1	1	2	1	2	3	3	3	4	6	4	3	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	1	14	" "	2	2	3	3		2	1	1	1	1	2	2	2	3	1	7	8	6	8	8	9	8	8	9	8	9	6	2	6	4	6	1	2	1	1	2	3	4	2	2	4	4	3	3	2	2	4	4	2	9	3	2	1	3	2	2	4	5	3	2	2	3	3	2	1	2	1	1	4	4	2	2	20	60	40	70	50	90	999	45	50	4	2	1	4	1	2	3	2	3	30	4	1945	3	2	2	4	2	1	2	3	2	2	2	3	4	4	3	5	6	5	9	10	8	8	9	9	8	99	7	9	8	2	7	2	2	4	1	2	3	2	1	2	1	1	6	2	3	3	3	2	2	2	1	2	1	3	2	2	4	3	4	3	4	3	4	4	2	4	4	2	4	4	3	2	3	3	3	3		1	2	2	1	2	2	2	1	2	2	9	999	2	2	2	2	2	2	2	2	2	2	2	2	999	1	3	1		1	4	2	1	1	1	1	1	1	1	1	1	1	3	1	999	2	2	2	2	2	2	4	5	5	5	3	3	3	3	1	1	2	9	4	2	2	3	3	2	2	3	3	3	2	3	4	2	3	1	9	9	9	1	2	2	1	1	1	1	1	2	2	2	2	1	2	1	1	2	1	9	5	2	6	1	9	9	9	9	9	9	8	9	7	8	7	8	7	7	1	3	1	2	3	3	1	4	3	5	3	4	4	3	2	2	3	2	3	2	2	1	1	1	1	2	1	9	1	2	2	2	1	2	1	2	11	0	1	2	5874.873106	7024.019447
2357	201702	1	"10022017"	1	1	4	8	2	2	2	1		1	1	40	4		1	2	1			1	4	2		1	1	2	3	2	2	7	5	2	1	1	2	1	1		3	2	3	2	1	2	1	9	3	2	4	1	2	1	2	4	6	2	2	1	2	2	5	2	2	2	8	4	3	3	3	5	5	4	4	4	1	3	2	1	2	1	1	3	3	1	1	1	1	1	2	" "	1	1	3	1	2	2	2	2	1	4	4	1	1	2	1	9	6	3	9	8	8	6	5	9	2	7	6	3	7	2	5	5	1	1	1	3	2	5	2	5	3	4	3	4	4	5	5	5	5	1	3	1	1	1	1	4	4	4	3	2	3	3	3	1	1	1	1	2	4	3	1	2	60	69	45	60	80	70	40	30	80	2	4	2	2	1	1	2	1	7	55	5	1999	3	2	2	4	2	2	4	2	2	3	4	4	4	3	3	5	5	4	7	7	8	7	7	7	6	99	8	7	5	2	7	2	1	3	1	1	1	3	1	1	3	3	6	9	1	2	1	2	2	2	1	1	1	4	3	2	4	3	4	2	4	1	4	2	4	2	4	3	4	5	4	4	5	4	1	9		1	3	2	1	2	2	2	2	1	2	1	10	2	2	2	2	2	2	2	1	2	2	2	1	1			1		5	4	4	2	1	1	1	1	3	1	2	4	1	3	2		2	1	1	1	1	1	3	2	1	2	3	3	3	3	3				2	3	3	5	5	5	5	1	5	5	2	2	5	2	5	2				1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	1	1	1	9	1	1	4	1	2	2	2	2	2	2	2	2	3	4	2	8	7	7	1	1	1	4	4	5	3	5	4	5	5	4	4	5	2	2	4	4	4	4	4			1	2	2	1	5	4	3	6	2	1	1	1	1	4	0	1	3	5694.968165	6869.834059
2358	201702	1	"07022017"	1	2	5	10	2	2	2	2	2	2					3			7	1	2		2		3	2	6	2	4	2	8	2		1	1	1	2	1		3	2	3	1	1	1	1	1	1	4	3	1	1	1	1	4	3	2	2	1	2	2	2	2	2	3	3	3	3	3	2	2	1	3	3	3	3	3	2	2	3	2	1	2	2	1	2	1	1	1	3	" "	3	1	2	3		2	1	1	1	3	2	2	2	2	1	8	7	7	8	8	8	8	7	8	8	8	8	1	5	7	1	4	4	1	1	2	3	4	2	2	4	4	4	4	4	2	2	4	2	1	3	2	1	1	2	4	2	2	3	2	3	3	3	1	1	1	2	2	3	3	2	2	35	40	45	45	40	45	40	35	80	2	2	2	2	1	2	2	1	5	45	4	1973	1	1	2	4	1	2	2	3	3	3	3	3	3	3	2	2	2	5	9	9	8	8	8	8	8	99	8	7	7	2	9	2	1	3	1	1	1	2	1	2	1	3	6	3	1	9	2	1	2	2	1	2	2	4	2	2	4	4	4	2	4	2	4	2	4	3	4	4	4	3	3	3	4	2	1	3		1	1	2	2	1	2	1	1	2	2	1	4	2	2	2	2	2	2	2	2	2	2	2	2	999	2		2	1				4	1	1	1	2	9	2	3	5	1	2	1	3	2	1	1	1	1	2	2	2	2	5	3	3	3	3	2				3	3	3	5	5	5	4	2	4	5	2	2	4	2	4	2				1	1	1	1	1	1	1	3	1	1	1	1	3	1	1	1	1	1	9	5	2	5	2	2	2	1	2	2	1	8	8	8	8	8	8	9	9	1	3	2	4	2	4	2	4	2	4	4	2	2	4	3	3	3	4	2	4	4	2	3	1	1	2	1	9	1	4	5	4	1	4	1	4	11	0	1	2	5085.723015	6258.960824
